,airport_code,airport_full_name
547,EFB,Eight Fathom Bight Airport  Eight Fathom Bight
548,KKU,Ekuk Airport  Ekuk
549,KEK,Ekwok Airport  Ekwok
550,NJK,"El Centro NAF Airport  El Centro, CA"
551,EDK,El Dorado Airport  El Dorado
552,EMT,El Monte Airport  El Monte
553,ELP,El Paso International Airport  El Paso
554,ELV,Elfin Cove SPB Airport  Elfin Cove
555,ELI,Elim Airport  Elim
556,ECG,"Elizabeth City Airport  Elizabeth City, NC"
557,FID,Elizabeth Field Airport  Fishers Island
558,EKX,Elizabethtown Airport  Elizabethtown
559,EKN,Elkins Airport  Elkins
560,EKO,"Elko Regional Airport  Elko, NV"
561,ELW,Ellamar Airport  Ellamar
562,EFD,Ellington Field Airport  Houston
563,MYU,Ellis Field Airport  Mekoryuk
564,RCA,Ellsworth Afb Airport  Rapid City
565,NDP,"Ellyson NAS Airport  Pensacola, FL"
566,EDF,Elmendorf Afb Airport  Anchorage
567,ELM,"Elmira Corning Regional Airport  Corning, NY"
568,LYU,Ely Airport  Ely
569,EMB,Embarkadero Airport  San Francisco
570,DUT,Emergency Field Airport  Dutch Harbor
571,PLN,Emmet County Airport  Pellston
572,ECA,Emmet County Airport  East Tawas
573,EMK,Emmonak Airport  Emmonak
574,EMP,Emporia Airport  Emporia
575,WDG,Enid Woodring Mun. Airport  Enid
576,EPH,Ephrata Airport  Ephrata
577,OMA,Eppley Airfield Airport  Omaha
578,ERI,Erie International Airport  Erie
579,ERR,Errol Airport  Errol
580,ESF,Esler Field Airport  Alexandria
581,ESO,Espanola Airport  Espanola
582,EUG,Eugene Airport  Eugene
583,UCE,Eunice Airport  Eunice
584,EUE,Eureka Airport  Eureka
585,EVW,Evanston Airport  Evanston
586,EVV,"Evansville Regional Airport  Evansville, IN"
587,EVM,Eveleth Airport  Eveleth
588,UCY,Everett-Stewart Airport  Union City
589,CLW,Executive Airport  Clearwater
590,FXE,Executive Airport  Fort Lauderdale
591,SAC,Executive Airport  Sacramento
592,FAI,Fairbanks International Airport  Fairbanks
593,CLM,Fairchild International Airport  Port Angeles
594,KCK,Fairfax Municipal Airport  Kansas City
595,FRM,Fairmont Airport  Fairmont
596,MSC,Falcon Field Airport  Mesa
597,FAL,Falcon State Airport  Roma
598,FLJ,Falls Bay Airport  Falls Bay
599,INL,Falls International Airport  International Falls
600,FAK,False Island Airport  False Island
601,KFP,False Pass Airport  False Pass
602,IDA,Fanning Field Airport  Idaho Falls
603,FWL,Farewell Airport  Farewell
604,KSR,Federal No 1 Airport  Sandy River
605,FAF,Felker AAF Airport  Fort Eustis
606,SFF,Felts Field Airport  Spokane
607,FFM,Fergus Falls Airport  Fergus Falls
608,FNK,Fin Creek Airport  Fin Creek
609,FDY,Findlay Airport  Findlay
610,FIC,Fire Cove Airport  Fire Cove
611,FCT,Firing Center AAF Airport  Yakima
612,FFA,First Flight Airport  Kill Devil Hills
613,KCG,Fisheries Airport  Chignik
614,FIV,Five Finger Airport  Five Finger Coast Guard Heliport
615,FMC,Five Mile Airport  Five Mile
